rule,action,window_label,min_favorite_price_cents,max_spread_cents,lookback_minutes,momentum_filter,min_abs_return_bps,train_sample_size,train_win_rate_pct,train_mean_pnl_cents,train_mean_pnl_ci_low_cents,train_mean_pnl_ci_high_cents,train_wilson_lower_pct,test_sample_size,test_win_rate_pct,test_mean_pnl_cents,test_mean_pnl_ci_low_cents,test_mean_pnl_ci_high_cents,test_wilson_lower_pct,test_avg_entry_price_cents,train_score,test_score
follow_favorite | T-2m | favorite>=0.90 | spread<=0.03 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-2m,90.0,3.0,3,confirm,4,46,100.0,1.3646739130434788,0.6799422138383023,2.049405612248655,92.29238226702192,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.006799422138383023,0.0012330156790992496
follow_favorite | T-2m | favorite>=0.90 | spread<=0.05 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-2m,90.0,5.0,3,confirm,4,46,100.0,1.3646739130434788,0.6799422138383023,2.049405612248655,92.29238226702192,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.006799422138383023,0.0012330156790992496
follow_favorite | T-2m | favorite>=0.90 | spread<=0.08 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-2m,90.0,8.0,3,confirm,4,46,100.0,1.3646739130434788,0.6799422138383023,2.049405612248655,92.29238226702192,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.006799422138383023,0.0012330156790992496
follow_favorite | T-2m | favorite>=0.92 | spread<=0.03 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-2m,92.0,3.0,3,confirm,4,44,100.0,1.0039772727272733,0.5083636773451065,1.49959086810944,91.9701682217986,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.005083636773451064,0.0012330156790992496
follow_favorite | T-2m | favorite>=0.92 | spread<=0.05 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-2m,92.0,5.0,3,confirm,4,44,100.0,1.0039772727272733,0.5083636773451065,1.49959086810944,91.9701682217986,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.005083636773451064,0.0012330156790992496
follow_favorite | T-2m | favorite>=0.92 | spread<=0.08 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-2m,92.0,8.0,3,confirm,4,44,100.0,1.0039772727272733,0.5083636773451065,1.49959086810944,91.9701682217986,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.005083636773451064,0.0012330156790992496
follow_favorite | T-2m | favorite>=0.94 | spread<=0.03 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-2m,94.0,3.0,3,confirm,4,43,100.0,0.8716046511627914,0.43938976447176187,1.3038195378538209,91.79874299767728,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.004393897644717619,0.0012330156790992496
follow_favorite | T-2m | favorite>=0.94 | spread<=0.05 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-2m,94.0,5.0,3,confirm,4,43,100.0,0.8716046511627914,0.43938976447176187,1.3038195378538209,91.79874299767728,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.004393897644717619,0.0012330156790992496
follow_favorite | T-2m | favorite>=0.94 | spread<=0.08 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-2m,94.0,8.0,3,confirm,4,43,100.0,0.8716046511627914,0.43938976447176187,1.3038195378538209,91.79874299767728,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.004393897644717619,0.0012330156790992496
follow_favorite | T-90s | favorite>=0.70 | spread<=0.03 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-90s,70.0,3.0,3,confirm,4,52,100.0,3.1208653846153847,1.5859062699871147,4.655824499243655,93.12054095871177,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.015859062699871147,0.0012330156790992496
follow_favorite | T-90s | favorite>=0.70 | spread<=0.05 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-90s,70.0,5.0,3,confirm,4,52,100.0,3.1208653846153847,1.5859062699871147,4.655824499243655,93.12054095871177,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.015859062699871147,0.0012330156790992496
follow_favorite | T-90s | favorite>=0.70 | spread<=0.08 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-90s,70.0,8.0,3,confirm,4,52,100.0,3.1208653846153847,1.5859062699871147,4.655824499243655,93.12054095871177,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.015859062699871147,0.0012330156790992496
follow_favorite | T-90s | favorite>=0.80 | spread<=0.03 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-90s,80.0,3.0,3,confirm,4,50,100.0,2.3343000000000003,1.1991560956143055,3.4694439043856953,92.86499658256812,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.011991560956143054,0.0012330156790992496
follow_favorite | T-90s | favorite>=0.80 | spread<=0.05 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-90s,80.0,5.0,3,confirm,4,50,100.0,2.3343000000000003,1.1991560956143055,3.4694439043856953,92.86499658256812,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.011991560956143054,0.0012330156790992496
follow_favorite | T-90s | favorite>=0.80 | spread<=0.08 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-90s,80.0,8.0,3,confirm,4,50,100.0,2.3343000000000003,1.1991560956143055,3.4694439043856953,92.86499658256812,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.011991560956143054,0.0012330156790992496
follow_favorite | T-90s | favorite>=0.90 | spread<=0.03 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-90s,90.0,3.0,3,confirm,4,46,100.0,1.3646739130434788,0.6799422138383023,2.049405612248655,92.29238226702192,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.006799422138383023,0.0012330156790992496
follow_favorite | T-90s | favorite>=0.90 | spread<=0.05 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-90s,90.0,5.0,3,confirm,4,46,100.0,1.3646739130434788,0.6799422138383023,2.049405612248655,92.29238226702192,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.006799422138383023,0.0012330156790992496
follow_favorite | T-90s | favorite>=0.90 | spread<=0.08 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-90s,90.0,8.0,3,confirm,4,46,100.0,1.3646739130434788,0.6799422138383023,2.049405612248655,92.29238226702192,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.006799422138383023,0.0012330156790992496
follow_favorite | T-90s | favorite>=0.92 | spread<=0.03 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-90s,92.0,3.0,3,confirm,4,44,100.0,1.0039772727272733,0.5083636773451065,1.49959086810944,91.9701682217986,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.005083636773451064,0.0012330156790992496
follow_favorite | T-90s | favorite>=0.92 | spread<=0.05 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-90s,92.0,5.0,3,confirm,4,44,100.0,1.0039772727272733,0.5083636773451065,1.49959086810944,91.9701682217986,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.005083636773451064,0.0012330156790992496
follow_favorite | T-90s | favorite>=0.92 | spread<=0.08 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-90s,92.0,8.0,3,confirm,4,44,100.0,1.0039772727272733,0.5083636773451065,1.49959086810944,91.9701682217986,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.005083636773451064,0.0012330156790992496
follow_favorite | T-90s | favorite>=0.94 | spread<=0.03 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-90s,94.0,3.0,3,confirm,4,43,100.0,0.8716046511627914,0.43938976447176187,1.3038195378538209,91.79874299767728,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.004393897644717619,0.0012330156790992496
follow_favorite | T-90s | favorite>=0.94 | spread<=0.05 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-90s,94.0,5.0,3,confirm,4,43,100.0,0.8716046511627914,0.43938976447176187,1.3038195378538209,91.79874299767728,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.004393897644717619,0.0012330156790992496
follow_favorite | T-90s | favorite>=0.94 | spread<=0.08 | mom3m=confirm | |ret|>=4bps,follow_favorite,T-90s,94.0,8.0,3,confirm,4,43,100.0,0.8716046511627914,0.43938976447176187,1.3038195378538209,91.79874299767728,19,100.0,0.8467894736842113,0.12330156790992496,1.5702773794584977,83.18156346315494,99.08947368421052,0.004393897644717619,0.0012330156790992496
follow_favorite | T-60s | favorite>=0.94 | spread<=0.03 | mom3m=contradict | |ret|>=0bps,follow_favorite,T-60s,94.0,3.0,3,contradict,0,75,100.0,0.4377200000000003,0.2061991655237588,0.6692408344762418,95.12744540953,33,100.0,0.4340000000000004,0.1200139450114501,0.7479860549885506,89.57265699643881,99.53333333333335,0.002061991655237588,0.001200139450114501
follow_favorite | T-60s | favorite>=0.94 | spread<=0.05 | mom3m=contradict | |ret|>=0bps,follow_favorite,T-60s,94.0,5.0,3,contradict,0,76,100.0,0.44419736842105295,0.2153906816884505,0.6730040551536556,95.18847317689024,33,100.0,0.4340000000000004,0.1200139450114501,0.7479860549885506,89.57265699643881,99.53333333333335,0.002153906816884505,0.001200139450114501
follow_favorite | T-60s | favorite>=0.94 | spread<=0.08 | mom3m=contradict | |ret|>=0bps,follow_favorite,T-60s,94.0,8.0,3,contradict,0,76,100.0,0.44419736842105295,0.2153906816884505,0.6730040551536556,95.18847317689024,33,100.0,0.4340000000000004,0.1200139450114501,0.7479860549885506,89.57265699643881,99.53333333333335,0.002153906816884505,0.001200139450114501
follow_favorite | T-60s | favorite>=0.94 | spread<=0.03 | mom1m=contradict | |ret|>=0bps,follow_favorite,T-60s,94.0,3.0,1,contradict,0,87,100.0,0.4019310344827589,0.2009831265883525,0.6028789423771653,95.77110046498521,40,100.0,0.39525000000000027,0.11538211780446231,0.6751178821955383,91.23754607496078,99.57499999999999,0.002009831265883525,0.001153821178044623
follow_favorite | T-60s | favorite>=0.94 | spread<=0.05 | mom1m=contradict | |ret|>=0bps,follow_favorite,T-60s,94.0,5.0,1,contradict,0,88,100.0,0.4079318181818185,0.20893265551350398,0.6069309808501331,95.81714604275187,40,100.0,0.39525000000000027,0.11538211780446231,0.6751178821955383,91.23754607496078,99.57499999999999,0.00208932655513504,0.001153821178044623
follow_favorite | T-60s | favorite>=0.94 | spread<=0.08 | mom1m=contradict | |ret|>=0bps,follow_favorite,T-60s,94.0,8.0,1,contradict,0,88,100.0,0.4079318181818185,0.20893265551350398,0.6069309808501331,95.81714604275187,40,100.0,0.39525000000000027,0.11538211780446231,0.6751178821955383,91.23754607496078,99.57499999999999,0.00208932655513504,0.001153821178044623
follow_favorite | T-60s | favorite>=0.92 | spread<=0.03 | mom1m=confirm | |ret|>=0bps,follow_favorite,T-60s,92.0,3.0,1,confirm,0,64,100.0,0.2760937500000002,0.07775063816078723,0.47443686183921313,94.33739770288436,25,100.0,0.6063600000000006,0.1100448865172853,1.1026751134827157,86.68035060468212,99.348,0.0007775063816078723,0.001100448865172853
follow_favorite | T-60s | favorite>=0.92 | spread<=0.05 | mom1m=confirm | |ret|>=0bps,follow_favorite,T-60s,92.0,5.0,1,confirm,0,64,100.0,0.2760937500000002,0.07775063816078723,0.47443686183921313,94.33739770288436,25,100.0,0.6063600000000006,0.1100448865172853,1.1026751134827157,86.68035060468212,99.348,0.0007775063816078723,0.001100448865172853
follow_favorite | T-60s | favorite>=0.92 | spread<=0.08 | mom1m=confirm | |ret|>=0bps,follow_favorite,T-60s,92.0,8.0,1,confirm,0,64,100.0,0.2760937500000002,0.07775063816078723,0.47443686183921313,94.33739770288436,25,100.0,0.6063600000000006,0.1100448865172853,1.1026751134827157,86.68035060468212,99.348,0.0007775063816078723,0.001100448865172853
follow_favorite | T-60s | favorite>=0.94 | spread<=0.03 | mom1m=confirm | |ret|>=0bps,follow_favorite,T-60s,94.0,3.0,1,confirm,0,64,100.0,0.2760937500000002,0.07775063816078723,0.47443686183921313,94.33739770288436,25,100.0,0.6063600000000006,0.1100448865172853,1.1026751134827157,86.68035060468212,99.348,0.0007775063816078723,0.001100448865172853
follow_favorite | T-60s | favorite>=0.94 | spread<=0.05 | mom1m=confirm | |ret|>=0bps,follow_favorite,T-60s,94.0,5.0,1,confirm,0,64,100.0,0.2760937500000002,0.07775063816078723,0.47443686183921313,94.33739770288436,25,100.0,0.6063600000000006,0.1100448865172853,1.1026751134827157,86.68035060468212,99.348,0.0007775063816078723,0.001100448865172853
follow_favorite | T-60s | favorite>=0.94 | spread<=0.08 | mom1m=confirm | |ret|>=0bps,follow_favorite,T-60s,94.0,8.0,1,confirm,0,64,100.0,0.2760937500000002,0.07775063816078723,0.47443686183921313,94.33739770288436,25,100.0,0.6063600000000006,0.1100448865172853,1.1026751134827157,86.68035060468212,99.348,0.0007775063816078723,0.001100448865172853
follow_favorite | T-60s | favorite>=0.90 | spread<=0.03 | mom5m=contradict | |ret|>=0bps,follow_favorite,T-60s,90.0,3.0,5,contradict,0,58,100.0,0.856241379310345,0.361633059044096,1.3508496995765944,93.78800031047062,25,100.0,0.7440000000000001,0.10950149938711487,1.3784985006128856,86.68035060468212,99.19999999999999,0.00361633059044096,0.0010950149938711486
follow_favorite | T-60s | favorite>=0.92 | spread<=0.03 | mom5m=contradict | |ret|>=0bps,follow_favorite,T-60s,92.0,3.0,5,contradict,0,56,100.0,0.5878928571428577,0.24636904945150478,0.9294166648342105,93.58038555118847,25,100.0,0.7440000000000001,0.10950149938711487,1.3784985006128856,86.68035060468212,99.19999999999999,0.002463690494515048,0.0010950149938711486
follow_favorite | T-60s | favorite>=0.60 | spread<=0.03 | mom3m=confirm | |ret|>=0bps,follow_favorite,T-60s,60.0,3.0,3,confirm,0,79,100.0,0.6863164556962027,0.16274616326069896,1.2098867481317066,95.36271631644004,32,100.0,0.5202187500000004,0.10863281859980937,0.9318046814001915,89.28172849426365,99.44062500000001,0.0016274616326069895,0.0010863281859980938
