ticker,open_time,close_time,result,window_label,window_seconds,cutoff_time,snapshot_ts,yes_bid,yes_ask,favorite_side,favorite_entry_price,favorite_price_cents,spread,spread_cents,favorite_won,favorite_pnl,btc_price,btc_ret_1m_bps,btc_ret_3m_bps,btc_ret_5m_bps,kalshi_volume_fp,kalshi_open_interest_fp,favorite_matches_btc_1m,favorite_matches_btc_3m,favorite_matches_btc_5m,market_sequence
KXBTC15M-26APR081430-30,2026-04-08 18:15:00+00:00,2026-04-08 18:30:00+00:00,no,T-5m,300,2026-04-08 18:25:00+00:00,2026-04-08 18:25:00+00:00,0.006,0.008,no,0.994,99.4,0.002,0.2,True,0.005580000000000004,71326.05,-11.602195244568847,-15.932279831974983,-9.35248110384257,9304.95,56438.15,True,True,True,6
KXBTC15M-26APR081445-45,2026-04-08 18:30:00+00:00,2026-04-08 18:45:00+00:00,no,T-60s,60,2026-04-08 18:44:00+00:00,2026-04-08 18:44:00+00:00,0.0,0.001,no,1.0,100.0,0.001,0.1,True,0.0,71319.79,2.532897869378381,-12.676040756580687,-23.973586671810487,82671.83,71030.87,False,True,True,7
KXBTC15M-26APR081445-45,2026-04-08 18:30:00+00:00,2026-04-08 18:45:00+00:00,no,T-90s,90,2026-04-08 18:43:30+00:00,2026-04-08 18:43:00+00:00,0.56,0.57,yes,0.57,56.99999999999999,0.009999999999999898,0.9999999999999898,False,-0.57,71301.73,-16.158588282672028,-20.192872939003294,-32.60921227371316,41128.66,36313.6,False,False,False,7
KXBTC15M-26APR081445-45,2026-04-08 18:30:00+00:00,2026-04-08 18:45:00+00:00,no,T-2m,120,2026-04-08 18:43:00+00:00,2026-04-08 18:43:00+00:00,0.56,0.57,yes,0.57,56.99999999999999,0.009999999999999898,0.9999999999999898,False,-0.57,71301.73,-16.158588282672028,-20.192872939003294,-32.60921227371316,41128.66,36313.6,False,False,False,7
KXBTC15M-26APR081445-45,2026-04-08 18:30:00+00:00,2026-04-08 18:45:00+00:00,no,T-3m,180,2026-04-08 18:42:00+00:00,2026-04-08 18:42:00+00:00,0.48,0.49,no,0.52,52.0,0.010000000000000009,1.0000000000000009,True,0.44639999999999996,71417.13,0.9550441665928666,-10.357921075018206,-20.539622369420975,59493.72,35711.82,False,True,True,7
KXBTC15M-26APR081445-45,2026-04-08 18:30:00+00:00,2026-04-08 18:45:00+00:00,no,T-4m,240,2026-04-08 18:41:00+00:00,2026-04-08 18:41:00+00:00,0.7,0.71,yes,0.71,71.0,0.010000000000000009,1.0000000000000009,False,-0.71,71410.31,-4.995381127005372,-17.430628363738208,-18.016695741635004,25943.38,41630.38,False,False,False,7
KXBTC15M-26APR081445-45,2026-04-08 18:30:00+00:00,2026-04-08 18:45:00+00:00,no,T-5m,300,2026-04-08 18:40:00+00:00,2026-04-08 18:40:00+00:00,0.84,0.85,yes,0.85,85.0,0.010000000000000009,1.0000000000000009,False,-0.85,71446.0,-6.319660691009865,-16.505477884727338,-16.541748842092694,11577.31,42018.12,False,False,False,7
KXBTC15M-26APR081500-00,2026-04-08 18:45:00+00:00,2026-04-08 19:00:00+00:00,no,T-60s,60,2026-04-08 18:59:00+00:00,2026-04-08 18:59:00+00:00,0.0,0.001,no,1.0,100.0,0.001,0.1,True,0.0,71101.98,-4.9678565343780345,-3.8408925716981734,-13.842591643264957,7188.5,89805.39,True,True,True,8
KXBTC15M-26APR081500-00,2026-04-08 18:45:00+00:00,2026-04-08 19:00:00+00:00,no,T-90s,90,2026-04-08 18:58:30+00:00,2026-04-08 18:58:00+00:00,0.002,0.004,no,0.998,99.8,0.002,0.2,True,0.0018600000000000016,71137.32,-0.21507235497875143,0.6888560799711563,-15.19392714522505,8293.75,82701.76,True,False,True,8
KXBTC15M-26APR081500-00,2026-04-08 18:45:00+00:00,2026-04-08 19:00:00+00:00,no,T-2m,120,2026-04-08 18:58:00+00:00,2026-04-08 18:58:00+00:00,0.002,0.004,no,0.998,99.8,0.002,0.2,True,0.0018600000000000016,71137.32,-0.21507235497875143,0.6888560799711563,-15.19392714522505,8293.75,82701.76,True,False,True,8
KXBTC15M-26APR081500-00,2026-04-08 18:45:00+00:00,2026-04-08 19:00:00+00:00,no,T-3m,180,2026-04-08 18:57:00+00:00,2026-04-08 18:57:00+00:00,0.008,0.01,no,0.992,99.2,0.002,0.2,True,0.0074400000000000065,71138.85,1.3426253316151104,-8.664260130609724,-13.033524825818432,26541.92,77279.16,False,True,True,8
KXBTC15M-26APR081500-00,2026-04-08 18:45:00+00:00,2026-04-08 19:00:00+00:00,no,T-4m,240,2026-04-08 18:56:00+00:00,2026-04-08 18:56:00+00:00,0.017,0.018,no,0.983,98.3,0.0009999999999999974,0.09999999999999974,True,0.01581000000000001,71129.3,-0.43861856520499565,-16.319611170211303,-13.432087089682021,33108.85,57708.53,True,True,True,8
KXBTC15M-26APR081500-00,2026-04-08 18:45:00+00:00,2026-04-08 19:00:00+00:00,no,T-5m,300,2026-04-08 18:55:00+00:00,2026-04-08 18:55:00+00:00,0.11,0.12,no,0.89,89.0,0.009999999999999995,0.9999999999999996,True,0.10229999999999997,71132.42,-9.567343169025744,-13.936212941179082,-17.998705597531696,25943.03,45636.92,True,True,True,8
KXBTC15M-26APR081515-15,2026-04-08 19:00:00+00:00,2026-04-08 19:15:00+00:00,yes,T-60s,60,2026-04-08 19:14:00+00:00,2026-04-08 19:14:00+00:00,0.999,1.0,yes,1.0,100.0,0.0010000000000000009,0.10000000000000009,True,0.0,71276.98,2.6116230275818886,2.66356058267192,14.944368898290872,4385.77,74061.53,True,True,True,9
KXBTC15M-26APR081515-15,2026-04-08 19:00:00+00:00,2026-04-08 19:15:00+00:00,yes,T-90s,90,2026-04-08 19:13:30+00:00,2026-04-08 19:13:00+00:00,0.995,0.998,yes,0.998,99.8,0.0030000000000000027,0.30000000000000027,True,0.0018600000000000016,71258.37,0.2301536991655695,3.7539503167338673,12.29294902634237,28090.84,71101.72,True,True,True,9
KXBTC15M-26APR081515-15,2026-04-08 19:00:00+00:00,2026-04-08 19:15:00+00:00,yes,T-2m,120,2026-04-08 19:13:00+00:00,2026-04-08 19:13:00+00:00,0.995,0.998,yes,0.998,99.8,0.0030000000000000027,0.30000000000000027,True,0.0018600000000000016,71258.37,0.2301536991655695,3.7539503167338673,12.29294902634237,28090.84,71101.72,True,True,True,9
KXBTC15M-26APR081515-15,2026-04-08 19:00:00+00:00,2026-04-08 19:15:00+00:00,yes,T-3m,180,2026-04-08 19:12:00+00:00,2026-04-08 19:12:00+00:00,0.994,0.996,yes,0.996,99.6,0.0020000000000000018,0.20000000000000018,True,0.0037200000000000033,71256.73,-0.17822560273939025,12.099093699058372,10.620792336395457,24510.3,59908.61,False,True,True,9
KXBTC15M-26APR081515-15,2026-04-08 19:00:00+00:00,2026-04-08 19:15:00+00:00,yes,T-4m,240,2026-04-08 19:11:00+00:00,2026-04-08 19:11:00+00:00,0.951,0.954,yes,0.954,95.39999999999999,0.0030000000000000027,0.30000000000000027,True,0.04278000000000003,71258.0,3.7020070999349564,12.24096147188325,19.98428480390002,31627.74,52739.18,True,True,True,9
KXBTC15M-26APR081515-15,2026-04-08 19:00:00+00:00,2026-04-08 19:15:00+00:00,yes,T-5m,300,2026-04-08 19:10:00+00:00,2026-04-08 19:10:00+00:00,0.78,0.79,yes,0.79,79.0,0.010000000000000009,1.0000000000000009,True,0.19529999999999995,71231.63,8.572357526182017,7.0945768913754925,21.801809229387015,16221.79,41449.02,True,True,True,9
KXBTC15M-26APR081530-30,2026-04-08 19:15:00+00:00,2026-04-08 19:30:00+00:00,no,T-60s,60,2026-04-08 19:29:00+00:00,2026-04-08 19:29:00+00:00,0.0,0.001,no,1.0,100.0,0.001,0.1,True,0.0,71128.61,-3.004919607156875,-7.514529635962441,-11.561425814629045,12342.95,69703.51,True,True,True,10
KXBTC15M-26APR081530-30,2026-04-08 19:15:00+00:00,2026-04-08 19:30:00+00:00,no,T-90s,90,2026-04-08 19:28:30+00:00,2026-04-08 19:28:00+00:00,0.004,0.006,no,0.996,99.6,0.002,0.2,True,0.0037200000000000033,71149.99,0.9558188211689078,-13.23895199490166,-5.0024162190109855,34517.47,58509.4,False,True,True,10
KXBTC15M-26APR081530-30,2026-04-08 19:15:00+00:00,2026-04-08 19:30:00+00:00,no,T-2m,120,2026-04-08 19:28:00+00:00,2026-04-08 19:28:00+00:00,0.004,0.006,no,0.996,99.6,0.002,0.2,True,0.0037200000000000033,71149.99,0.9558188211689078,-13.23895199490166,-5.0024162190109855,34517.47,58509.4,False,True,True,10
KXBTC15M-26APR081530-30,2026-04-08 19:15:00+00:00,2026-04-08 19:30:00+00:00,no,T-3m,180,2026-04-08 19:27:00+00:00,2026-04-08 19:27:00+00:00,0.071,0.078,no,0.929,92.9,0.007000000000000006,0.7000000000000006,True,0.06602999999999995,71143.19,-5.466261883254608,-9.513987597973284,-1.2367890202369392,22599.39,45993.38,True,True,True,10
KXBTC15M-26APR081530-30,2026-04-08 19:15:00+00:00,2026-04-08 19:30:00+00:00,no,T-4m,240,2026-04-08 19:26:00+00:00,2026-04-08 19:26:00+00:00,0.41,0.43,no,0.5900000000000001,59.00000000000001,0.020000000000000018,2.0000000000000018,True,0.3812999999999999,71182.1,-8.731925398672846,-0.491672473084126,-7.434541362075775,17969.21,40082.72,True,True,True,10
KXBTC15M-26APR081530-30,2026-04-08 19:15:00+00:00,2026-04-08 19:30:00+00:00,no,T-5m,300,2026-04-08 19:25:00+00:00,2026-04-08 19:25:00+00:00,0.25,0.26,no,0.75,75.0,0.010000000000000009,1.0000000000000009,True,0.23249999999999998,71244.31,4.686077729068039,12.97504117593773,-0.23860985337909035,12069.75,41802.98,False,False,True,10
KXBTC15M-26APR081545-45,2026-04-08 19:30:00+00:00,2026-04-08 19:45:00+00:00,yes,T-60s,60,2026-04-08 19:44:00+00:00,2026-04-08 19:44:00+00:00,0.999,1.0,yes,1.0,100.0,0.0010000000000000009,0.10000000000000009,True,0.0,71314.26,6.208782628205345,19.168892781484814,-0.7235056033827458,16726.88,70188.24,True,True,False,11
KXBTC15M-26APR081545-45,2026-04-08 19:30:00+00:00,2026-04-08 19:45:00+00:00,yes,T-90s,90,2026-04-08 19:43:30+00:00,2026-04-08 19:43:00+00:00,0.971,0.977,yes,0.977,97.7,0.006000000000000005,0.6000000000000005,True,0.021390000000000017,71270.01,7.435016272785422,1.6755996899697756,-5.023432165365271,19791.9,66654.17,True,True,False,11
