coin,series_ticker,market_ticker,close_time,result,window_label,window_seconds,cutoff_time,observed_ts,yes_price,favorite_side,favorite_price,winning_side,won,pnl_per_contract,ev_per_dollar_risked,tradeable,dried_up_by_window,favorite_price_cents,threshold_bucket_cents
SOL,KXSOL15M,KXSOL15M-26APR062100-00,2026-04-07 01:00:00+00:00,yes,T-2m,120,2026-04-07 00:58:00+00:00,2026-04-07 00:58:00+00:00,0.99,yes,0.99,True,True,0.009300000000000008,0.009393939393939402,False,True,99.0,98.0
SOL,KXSOL15M,KXSOL15M-26APR062100-00,2026-04-07 01:00:00+00:00,yes,T-90s,90,2026-04-07 00:58:30+00:00,2026-04-07 00:58:00+00:00,0.99,yes,0.99,True,True,0.009300000000000008,0.009393939393939402,False,True,99.0,98.0
SOL,KXSOL15M,KXSOL15M-26APR062100-00,2026-04-07 01:00:00+00:00,yes,T-60s,60,2026-04-07 00:59:00+00:00,2026-04-07 00:59:00+00:00,0.993,yes,0.993,True,True,0.006510000000000005,0.006555891238670701,False,True,99.3,98.0
SOL,KXSOL15M,KXSOL15M-26APR062045-45,2026-04-07 00:45:00+00:00,no,T-5m,300,2026-04-07 00:40:00+00:00,2026-04-07 00:40:00+00:00,0.05,no,0.95,True,True,0.04650000000000004,0.04894736842105268,True,False,95.0,94.0
SOL,KXSOL15M,KXSOL15M-26APR062045-45,2026-04-07 00:45:00+00:00,no,T-4m,240,2026-04-07 00:41:00+00:00,2026-04-07 00:41:00+00:00,0.02,no,0.98,True,True,0.018600000000000016,0.01897959183673471,True,False,98.0,98.0
SOL,KXSOL15M,KXSOL15M-26APR062045-45,2026-04-07 00:45:00+00:00,no,T-3m,180,2026-04-07 00:42:00+00:00,2026-04-07 00:42:00+00:00,0.01,no,0.99,True,True,0.009300000000000008,0.009393939393939402,False,True,99.0,98.0
SOL,KXSOL15M,KXSOL15M-26APR062045-45,2026-04-07 00:45:00+00:00,no,T-2m,120,2026-04-07 00:43:00+00:00,2026-04-07 00:43:00+00:00,0.1,no,0.9,True,True,0.09299999999999997,0.1033333333333333,True,True,90.0,90.0
SOL,KXSOL15M,KXSOL15M-26APR062045-45,2026-04-07 00:45:00+00:00,no,T-90s,90,2026-04-07 00:43:30+00:00,2026-04-07 00:43:00+00:00,0.1,no,0.9,True,True,0.09299999999999997,0.1033333333333333,True,True,90.0,90.0
SOL,KXSOL15M,KXSOL15M-26APR062045-45,2026-04-07 00:45:00+00:00,no,T-60s,60,2026-04-07 00:44:00+00:00,2026-04-07 00:44:00+00:00,0.03,no,0.97,True,True,0.027900000000000022,0.02876288659793817,True,True,97.0,96.0
SOL,KXSOL15M,KXSOL15M-26APR062030-30,2026-04-07 00:30:00+00:00,no,T-5m,300,2026-04-07 00:25:00+00:00,2026-04-07 00:25:00+00:00,0.24,no,0.76,True,True,0.22319999999999998,0.29368421052631577,True,False,76.0,
SOL,KXSOL15M,KXSOL15M-26APR062030-30,2026-04-07 00:30:00+00:00,no,T-4m,240,2026-04-07 00:26:00+00:00,2026-04-07 00:26:00+00:00,0.27,no,0.73,True,True,0.2511,0.343972602739726,True,False,73.0,
SOL,KXSOL15M,KXSOL15M-26APR062030-30,2026-04-07 00:30:00+00:00,no,T-3m,180,2026-04-07 00:27:00+00:00,2026-04-07 00:27:00+00:00,0.08,no,0.92,True,True,0.07439999999999995,0.08086956521739125,True,False,92.0,92.0
SOL,KXSOL15M,KXSOL15M-26APR062030-30,2026-04-07 00:30:00+00:00,no,T-2m,120,2026-04-07 00:28:00+00:00,2026-04-07 00:28:00+00:00,0.1,no,0.9,True,True,0.09299999999999997,0.1033333333333333,True,False,90.0,90.0
